"id","code","name","continent","wikipedia_link","keywords"
302556,"AO","Angola","AF","http://en.wikipedia.org/wiki/Angola",
302615,"AQ","Antarctica","AN","http://en.wikipedia.org/wiki/Antarctica",
302789,"AR","Argentina","SA","http://en.wikipedia.org/wiki/Argentina",
302763,"AS","American Samoa","OC","http://en.wikipedia.org/wiki/American_Samoa",
302674,"AT","Austria","EU","http://en.wikipedia.org/wiki/Austria",
302764,"AU","Australia","OC","http://en.wikipedia.org/wiki/Australia",
302725,"AW","Aruba","NA","http://en.wikipedia.org/wiki/Aruba",
302621,"AZ","Azerbaijan","AS","http://en.wikipedia.org/wiki/Azerbaijan",
302675,"BA","Bosnia and Herzegovina","EU","http://en.wikipedia.org/wiki/Bosnia_and_Herzegovina",
302726,"BB","Barbados","NA","http://en.wikipedia.org/wiki/Barbados",
302665,"TL","Timor-Leste","AS","http://en.wikipedia.org/wiki/Timor-Leste","East Timor"
302666,"TM","Turkmenistan","AS","http://en.wikipedia.org/wiki/Turkmenistan",
302606,"TN","Tunisia","AF","http://en.wikipedia.org/wiki/Tunisia",
302783,"TO","Tonga","OC","http://en.wikipedia.org/wiki/Tonga",
302667,"TR","Turkey","AS","http://en.wikipedia.org/wiki/Turkey",
302754,"TT","Trinidad and Tobago","NA","http://en.wikipedia.org/wiki/Trinidad_and_Tobago",
302784,"TV","Tuvalu","OC","http://en.wikipedia.org/wiki/Tuvalu",
302668,"TW","Taiwan","AS","http://en.wikipedia.org/wiki/Taiwan",
302607,"TZ","Tanzania","AF","http://en.wikipedia.org/wiki/Tanzania",
302719,"UA","Ukraine","EU","http://en.wikipedia.org/wiki/Ukraine",
302608,"UG","Uganda","AF","http://en.wikipedia.org/wiki/Uganda",
